Phage (name),GenBank accession
Escherichia phage WilhelmHis,MZ501113
Escherichia phage Paracelsus,MZ501096
Escherichia phage KarlGJung,MZ501089
Escherichia phage AugustSocin,MZ501052
Escherichia phage FriedrichMiescher,MZ501066
Escherichia phage FelixPlatter,MZ501065
Escherichia phage FriedrichZschokke,MZ501067
Escherichia phage AndreasVesalius,MZ501050
Escherichia phage TadeuszReichstein,MZ501106
Escherichia phage AdolfPortmann,MZ501046
Escherichia phage PaulHMueller,MZ501098
Escherichia phage ChristianSchoenbein,MZ501056
Escherichia phage AlbertHofmann,MZ501047
Enterobacteria phage AR1,AP011113.1
Escherichia phage wV7,HM997020.1
Enterobacteria phage ime09,JN202312.1
Enterobacteria phage ACG-C40,JN986846.1
Escherichia phage ECML-134,JX128259.1
Enterobacteria phage HX01,JX536493.1
Yersinia phage PST,KF208315.1
Enterobacteria phage RB6,KM606996.1
Enterobacteria phage Aplg8,KT184308.1
Shigella phage SH7,KX828711.1
Escherichia phage slur08,LN881733.1
Shigella phage Sf23,MF158046.1
Enterobacteria phage IME339,MH051915.1
Enterobacteria phage IME340,MH051916.1
Enterobacteria phage T6,MH550421.1
Escherichia phage T2,MH751506.1
Yersinia phage PYPS2T,MH809535.1
Escherichia phage DalCa,MH992510.1
Escherichia phage D5505,MK327929.1
Escherichia phage G9062,MK373779.1
Shigella phage CM8,MK962750.1
Enterobacteria phage T4,NC_000866.4
Enterobacteria phage RB69,NC_004928.1
Enterobacteria phage RB32,NC_008515.1
Enterobacteria phage RB51,NC_012635.1
Enterobacteria phage RB14,NC_012638.1
Shigella phage Shfl2,NC_015457.1
Escherichia phage JS09,NC_024124.2
Escherichia phage e11/2,NC_024125.2
Shigella phage pSs-1,NC_025829.1
Escherichia phage APCEc01,NC_029091.1